API URL: https://api.media.ccc.de/public/recordings/19727
Frontend URL: https://media.ccc.de/v/c4.openchaos.2017.09.usable-privacy
Title: Usable Privacy and Security

(speaks in foreign language)
(speaks in foreign language)
(speaks in foreign language)
(speaks in foreign language)
(speaks in foreign language)
(speaks in foreign language)
(speaks in foreign language)
(speaks in foreign language)
(speaks in foreign language)
(speaks in foreign)
(speaks in foreign)
(speaks in foreign language)
(speaks in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign)
(speaking in foreign)
(speaking foreign)
(speaking foreign)
(speaking foreign)
(speaking foreign)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking foreign)
(speaking foreign)
(speaking in foreign)
(speaking in foreign)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign)
(speaking foreign)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
I'm not sure if you're interested in the fact that you're interested in the fact that you're interested in the fact that you're interested.
Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet, Internet
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
I think there is a lot more to do with transport security.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
We are going to move on to the other side of the world.
I invited a few of the world's best hackers to try to hack me
and show me where my vulnerabilities are.
Now I am going to meet them in Las Vegas for DEF CON,
the biggest hacker convention of the year.
They are going to happen using social engineering,
which is essentially hacking without any code.
They just use a phone and an internet connection.
Do you want to do a sample of a machine call?
What is phishing?
Phishing is voice elicitation.
Basically, what you do is use the phone to extract information
or data points that can be used in a later attack.
Let's do it.
Who are you going to call?
Maybe I will call your cell phone provider
and see if I can get them to give me your email address.
I bet they are good.
I bet they have my back.
But yeah, go for it.
I'm going to spoof from your number.
It's going to look like it's calling from you.
OK.
Hi, I'm actually, I'm so sorry.
Can you hear me OK?
My baby, I'm sorry.
My husband's like, we're about to fly for a loan
and we just had a baby and he's like, get this done by today.
So I'm so sorry, I can't call you that.
I'm going to log into our account for uses information
and I can't remember what email address we use
to log into the account.
The baby's crying and can you help me?
Awesome.
In just 30 seconds, email.com.
Jessica gets access to my personal email address.
Now, if I needed to add our daughter on our account
so she could call in and make changes,
how would I need to go about doing that?
You would have to send me a secure pin through a text message.
Yeah, well, the thing is, I don't think I'll be able to receive a text message
if I'm on the phone.
Oh, I'm not on there either.
So I thought when we got married, he added me to the account.
Jess uses my girlfriend's name and a fake social security number.
5127.
To set up her own personal access to my account.
Wait, I'm sorry, so there's no password on my account right now?
Can I set that up?
She even gets the support person to change my password.
Thank you so much for your help today.
So she just basically blocked me out of my own account.
I'll get her fed up to this.
All right, thank you.
Holy shit, so they just gave you access to my entire cell phone.
You're going to have to go on and change your password now
because it's Jess, my name.
And all it took was a crying baby and a phone call.
Yeah, this is one of my best friends.
I was playing on my guts to work.
And first of all, I got to work.
I got to work with them and I got to work with them.
I got to work with them and I got to work with them.
I got to work with them and I got to work with them and I got to work with them.
I got to work with them and I got to work with them.
I got to work with them and I got to work with them.
I got to work with them and I got to work with them.
In recent years, I was able to use my own security.
I was able to work with them and I got to work with them.
I was able to work with them and I got to work with them.
I was able to work with them.
I was able to work with them and I got to work with them.
I was able to work with them and I got to work with them.
I was able to work with them and I got to work with them.
I was able to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them. I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I was able to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I had to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
I got to work with them and I got to work with them and I got to work with them.
I was able to work with them and I got to work with them and I got to work with them.
So, as you can see in the video, I'm going to show you how to make a video, and how to make a video.
I'm going to show you how to make a video, how to make a video, how to make a video, how to make a video.
I'm going to show you how to make a video.
a video, how to make a video,
how to make a video, how to make a video, how to make a video,
(speaks in foreign language)
(speaks in foreign language)
And if you don't know it, you can see that there is a lot of technology in the U.S.
in which you can see that you can see that you can see that you can see that you can see
the most important thing is to use the standard of item, on usable security and privacy to
harm, on other sides. It is a very important thing to use. It is a very important thing.
I think it is a very important thing to use. I think it is a very important thing. The
The security is usable, when the phasone is a fivendent,
when the phasone is a fivendent,
when the phasone is a fivendent,
when the phasone is a fivendent,
when the phasone is a fivendent,
when the phasone is a fivendent,
when the phasone is a fivendent,
when the phasone is a fivendent,
when the phasone is a fivendent,
when the phasone is a fivendent,
phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
When the phone is
a, the phone is
a, the phone is
a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
the phone is a fend,
